File,BLEU,Precisions,Brevity Penalty,Length Ratio,Translation Length,Reference Length
21_cinderella.txt,0.19322008142829517,"[0.6622613803230544, 0.3242746970253397, 0.14768552534900808, 0.07092980521866961]",0.8872070064925698,0.8931147540983606,2724,3050
134_the_six_servants.txt,0.1770195902906339,"[0.7179279643868879, 0.33805668016194335, 0.15836371000405022, 0.0806320907617504]",0.7502618023690865,0.7767997485067589,2471,3181
201_heavenly_wedding.txt,0.2419330998415464,"[0.654639175257732, 0.3304647160068847, 0.17413793103448275, 0.10362694300518134]",0.9678810823055852,0.9683860232945092,582,601
200_the_golden_key.txt,0.22500482888424542,"[0.6827956989247311, 0.32972972972972975, 0.19021739130434784, 0.1092896174863388]",0.8602453545730296,0.8691588785046729,186,214
41_herr_korbes.txt,0.21369176937729217,"[0.6620370370370371, 0.31786542923433875, 0.14883720930232558, 0.08391608391608392]",0.9437722803587992,0.9452954048140044,432,457
17_the_white_snake.txt,0.0,"[0.17202380952380952, 0.05002977963073258, 0.006555423122765197, 0.0]",1.0,3.766816143497758,1680,446
111_The_Skilful_Huntsman.txt,0.21932812429431878,"[0.7460456942003515, 0.38857142857142857, 0.18161829375549693, 0.09018917729872415]",0.8355198021847329,0.8476722532588454,2276,2685
86_the_fox_and_the_geese.txt,0.0487413836722596,"[0.4720812182741117, 0.1377551020408163, 0.041025641025641026, 0.010309278350515464]",0.6730476925177328,0.7163636363636363,197,275
15_hansel_and_grethel.txt,0.25139928376297727,"[0.7257653061224489, 0.38819776714513554, 0.2032546266751755, 0.1113948292371529]",0.8895602306638439,0.8952326577219526,3136,3503
135_the_white_bride_and_the_black_.txt,0.22290224898205352,"[0.6792698826597132, 0.3515981735159817, 0.1906005221932115, 0.10907903331156107]",0.8397033122113268,0.8512763596004439,1534,1802
131_Fair_Katrinelje_and_Pif-Paf-Po.txt,0.0,"[0.3310810810810811, 0.006802721088435374, 0.0, 0.0]",0.13083951491528495,0.32962138084632514,148,449
94_The_Peasant’s_Wise_Daughter.txt,0.2082539698974166,"[0.7532561505065123, 0.36567704561911657, 0.1673913043478261, 0.08484408992023205]",0.8327115149668356,0.8452599388379205,1382,1635
98_doctor_knowall.txt,0.15401809390411184,"[0.671990171990172, 0.2890528905289053, 0.11576354679802955, 0.04192355117139334]",0.8789804444930402,0.8857453754080522,814,919
123_the_old_woman_in_the_wood.txt,0.22290024430070438,"[0.7203579418344519, 0.3516237402015677, 0.19170403587443946, 0.1122334455667789]",0.8203808648876164,0.834733893557423,894,1071
138_knoist_and_his_three_sons.txt,0.0,"[0.42038216560509556, 0.10897435897435898, 0.025806451612903226, 0.0]",0.9031100801874413,0.9075144508670521,157,173
157_the_sparrow_and_his_four_child.txt,0.06461941326094003,"[0.4667590027700831, 0.15256588072122051, 0.06388888888888888, 0.031988873435326845]",0.5883278525369714,0.653393665158371,722,1105
65_Allerleirauh.txt,0.2646391661857406,"[0.7670075589150733, 0.4012455516014235, 0.21495327102803738, 0.1219946571682992]",0.8829384576621551,0.88928430209569,2249,2529
"36_The_Wishing-Table,_the_Gold-As.txt",0.1632568287456594,"[0.7188454066056065, 0.3362021099389228, 0.14134962510413773, 0.06111111111111111]",0.763763081348213,0.7877131613467424,3603,4574
146_the_turnip.txt,0.17928218107277333,"[0.6875, 0.29105125977410945, 0.13826086956521738, 0.07049608355091384]",0.8531207633424128,0.8629213483146068,1152,1335
"23_The_Mouse,_the_Bird,_and_the_S.txt",0.1674419837431882,"[0.7235099337748344, 0.33499170812603646, 0.132890365448505, 0.051580698835274545]",0.8293723303958184,0.8423988842398884,604,717
126_Ferdinand_the_Faithful.txt,0.048418456556543664,"[0.4603174603174603, 0.11068334937439846, 0.026480500722195474, 0.00674373795761079]",0.8815953403696101,0.8880820162323794,2079,2341
14_the_three_spinners.txt,0.016611753489243413,"[0.29132947976878615, 0.04861111111111111, 0.004634994206257242, 0.001160092807424594]",1.0,1.6602687140115162,865,521
25_the_seven_ravens.txt,0.24039320245028695,"[0.7233160621761658, 0.35684647302904565, 0.18795430944963656, 0.11226611226611227]",0.8849007450531234,0.8910433979686058,965,1083
"18_The_Straw,_the_Coal,_and_the_B.txt",0.00185040938895277,"[0.6054054054054054, 0.1588447653429603, 0.027124773960216998, 0.0036231884057971015]",0.033373269960326066,0.22727272727272727,555,2442
69_jorinda_and_joringel.txt,0.17047421585703848,"[0.5349025974025974, 0.24532900081234768, 0.11463414634146342, 0.05614320585842148]",1.0,1.1396854764107307,1232,1081
151_The_Three_Sluggards.txt,0.20687899794497178,"[0.7298387096774194, 0.35108958837772397, 0.18739903069466882, 0.10105092966855295]",0.783841547297845,0.8041504539559015,1240,1542
51_Fundevogel_(Bird-foundling).txt,0.1981655100325113,"[0.660262891809909, 0.305668016194332, 0.15704154002026344, 0.08924949290060852]",0.8592732098431183,0.8683055311676909,989,1139
